Date,CO,NO2,NOx,O3,PM10,PM2.5,SO2
2021-11-25 00:00:00,905,32.1,59.7,"9,1",37.0,49,4.2
2021-11-26 00:00:00,618,22.2,33.6,"24,1",19.0,24,3.6
2021-11-27 00:00:00,594,17.9,42.3,"16,6",13.0,18,3.2
2021-11-28 00:00:00,587,16.2,24.3,"28,9",11.0,17,3.8
2021-11-29 00:00:00,519,15.6,24.8,"24,6",8.0,13,2.8
2021-11-30 00:00:00,427,11.5,20.4,"34,8",9.0,11,3.7
2021-12-01 00:00:00,399,11.8,21.5,"39,9",7.0,8,3.3
2021-12-02 00:00:00,546,19.7,34.5,"28,1",15.0,13,5.2
2021-12-03 00:00:00,834,26.5,83.8,"28,6",25.0,18,3.9
2021-12-04 00:00:00,973,25.8,63.1,"18,9",35.0,47,3.9
2021-12-05 00:00:00,580,14.8,22.2,"21,5",18.0,24,3.7
2021-12-06 00:00:00,493,20.5,33.6,"18,1",12.0,19,3.5
2021-12-07 00:00:00,408,15.2,26.2,"14,0",18.0,15,4.0
2021-12-08 00:00:00,762,22.5,75.1,"20,2",36.0,26,3.9
2021-12-09 00:00:00,502,17.8,31.4,"14,9",19.0,30,3.3
2021-12-10 00:00:00,505,15.6,24.4,"14,1",19.0,24,3.3
2021-12-11 00:00:00,496,19.3,38.4,"17,2",17.0,25,3.4
2021-12-12 00:00:00,411,10.5,15.0,"42,1",16.0,17,3.8
2021-12-13 00:00:00,433,22.4,28.8,"38,4",16.0,18,3.6
2021-12-14 00:00:00,720,31.7,67.7,"19,3",31.0,32,5.2
2021-12-15 00:00:00,830,34.3,86.6,"5,2",35.0,40,4.5
2021-12-16 00:00:00,808,24.2,51.5,"2,4",36.0,42,4.0
2021-12-17 00:00:00,694,27.2,64.1,"12,6",23.0,33,3.7
2021-12-18 00:00:00,418,15.3,20.9,"42,6",11.0,14,3.1
2021-12-19 00:00:00,478,9.5,15.0,"18,7",15.0,18,3.0
2021-12-20 00:00:00,471,22.1,40.5,"32,6",9.0,14,3.2
2021-12-21 00:00:00,472,17.8,28.4,"37,4",14.0,13,3.1
2021-12-22 00:00:00,915,40.8,106.6,"16,8",29.0,24,3.8
2021-12-23 00:00:00,724,24.1,39.8,"29,0",25.0,36,4.0
2021-12-24 00:00:00,573,8.4,13.9,"29,2",18.0,24,3.9
2021-12-25 00:00:00,494,13.5,25.6,"36,2",8.0,14,3.1
2021-12-26 00:00:00,443,15.0,26.5,"57,2",12.0,11,4.0
2021-12-27 00:00:00,672,26.9,43.3,"30,9",22.0,21,3.9
2021-12-28 00:00:00,753,15.8,26.0,"21,1",20.0,26,3.1
2021-12-29 00:00:00,803,14.3,23.8,"12,6",18.0,24,3.2
2021-12-30 00:00:00,744,11.8,21.4,"22,2",15.0,22,3.3
2021-12-31 00:00:00,763,10.4,18.7,"20,7",21.0,21,3.7
2020-01-01 00:00:00,922,18.5,57.0,"10,7",73.0,,3.7
